bicycle	highway	name	note	surface	visible_name	boat	canoe	motorboat	waterway	canoe:conditional	wikidata	bridge	layer	ship	width	area	lit	wikipedia	tunnel	name:de	name:ru	step_count	covered	alt_name	foot	incline	loc_name	lanes	maxspeed	oneway	wheelchair	railway	man_made	nat_ref	start_date	source	source:maxspeed	construction	svg:bezier	building	ferry	public_transport	CEMT	access	old_name	name:it	canoa:conditional	fixme	name:en	name:es	name:fr	bridge:railing	bridge:structure	importance	name:ja	name:pl	name:pt	sidewalk	architect	end_date	length	name:uk	horse	official_name	material	tourism	place	source:date	footway	name:ar	name:be	name:bg	name:he	name:ko	name:tr	name:vec	name:zh	maxwidth	handrail	handrail:left	handrail:right	est_width	arcade:right	electrified	arcade:left	natural	height	psv	description	motor_vehicle	segregated	smoothness	step	ramp	ramp:bicycle	ramp:stroller	ramp:wheelchair	name_1	noexit
no	pedestrian	Calle de la Rotonda																																																																																																	
no	pedestrian	Calle del Forno																																																																																																	
no	pedestrian	Campiello de la Colombina														yes																																																																																			
no	pedestrian	Fondamenta Savorgnan																													yes																																																																				
no	pedestrian	Fondamenta Venier		paving_stones																																																																																															
no	pedestrian	Fondamenta Gheto Novissimo		paving_stones																																																																																															
		Rio delle Muneghete				yes	yes	yes	canal		Q3432881				8																																																																																				
		Rio de San Sebastian						yes	canal		Q3432767				8																																																																																				
		Rio de San Nicolo dei Mendicoli						yes	canal						8																																																																																				
		Rio de San Nicolo dei Mendicoli						yes	canal						8																																																																																				
		Rio de le Terese				yes	yes	yes	canal					yes	8																																																																																				
		Rio de l'Arzere				yes	yes	yes	canal		Q3432856				8																																																																																				
		Rio dei Scudi Santa Ternita'						yes	canal						8																																																																																				
no	pedestrian	Calle Favretti																						Calle di Carmelitani	yes		Calle del Pisso																																																																								
yes	pedestrian	Fondamenta Santa Lucia		paving_stones													yes								yes																																																																										
no	pedestrian	Fondamenta Contarini																																																																																																	
no	pedestrian	Calesele		paving_stones																																																																																															
no	pedestrian	Corte Cendon														yes																																																																																			
		Rio dei Tre Ponti				yes	yes	yes	canal		Q2370609				8																																																																																				
	trunk	Ponte della Libertà																										2	50	yes		tram																																																																			
		Rio di San Lorenzo						yes	canal						8									Rio dei Greci																																																																											
	footway	Ferrovia																															pier																																																																		
	footway	Tre Archi																															pier																																																																		
no	footway	Ponte dei Bareteri			PONTE DEI BARETERI							yes	1					it:Ponte dei Bareteri						Ponte dei Baretteri																																																																											
no	pedestrian	Corte Mazor			CORTE MAZOR											yes																																																																																			
no	pedestrian	Fondamenta del Rio Novo																																																																																																	
no	pedestrian	Calle dei Albanesi																																																																																																	
	steps	Ponte San Biasio delle Catene										yes	1																																																																																						
no	trunk	Ponte della Libertà										yes	1															3	70	yes		tram																																																																			
no	trunk	Ponte della Libertà										yes	1					it:Ponte della Libertà							no			2	50	yes		tram		SR11	1933																																																																
	unclassified	Ponte della Libertà											1																	yes																																																																					
	unclassified	Ponte Peppino Impastato		asphalt								yes	1				yes							Ponte del Tronchetto				2	50	yes						Yahoo	sign																																																														
	pedestrian	Calle Volto																																																																																																	
	steps	Ponte de Monastero										yes	1																									yes																																																													
no	pedestrian	Campo della Chiesa																																																																																																	
no	pedestrian	Campo della Chiesa																																																																																																	
no	pedestrian	Calle del Fisola																																																																																																	
no	pedestrian	Calle de la Chiesa																																																																																																	
no	pedestrian	Fondamenta al Rio della Croce																																																																																																	
no	pedestrian	Calle del Forno																																																																																																	
no	pedestrian	Fondamenta San Biagio																																																																																																	
no	pedestrian	Calle Corte dei Cordami																																																																																																	
no	pedestrian	Calle dei Nicoli																																																																																																	
no	pedestrian	Corte dei Cordami														yes																																																																																			
no	pedestrian	Calle de le Scuole																																																																																																	
no	pedestrian	Campiello del Forno														yes																																																																																			
	steps	Calle de le Scuole										yes	1																																																																																						
no	pedestrian	Corte Grande																																																																																																	
no	pedestrian	Fondamenta San Biagio																																																																																																	
no	pedestrian	Fondamenta San Biagio																																																																																																	
no	pedestrian	Fondamenta Rotonda																																																																																																	
no	pedestrian	Calle San Cosmo																																																																																																	
no	pedestrian	Campo San Cosmo														yes																																																																																			
no	pedestrian	Corte Venier dai Leoni		paving_stones	SOTOPORTEGO E CORTE VENIER DAI LEONI																																																																																														
no	trunk	Ponte della Libertà										yes	1					it:Ponte della Libertà										3	70	yes		tram		SR11	1933																																																																
no	pedestrian	Campo San Rocco		paving_stones												yes	yes	it:Campo San Rocco																																																																																	
no	pedestrian	Salizada San Rocco		paving_stones												yes																							no																																																												
	pedestrian	Calle Pompea																	yes																																																																																
no	pedestrian	Rio Terà Antonio Foscarini		paving_stones																																																																																															
		Rio degli Zecchini						yes	canal		Q3432803				8																																																																																				
no	pedestrian	Calle de la Chiesa																																																																																																	
no	pedestrian	Campiello della Chiesa																																																																																																	
no	pedestrian	Campo della Chiesa																																																																																																	
no	pedestrian	Fondamenta San Gerardo Segredo																																																																																																	
	footway	Ponte di Rialto		paving_stones								yes	1																																																																																						
no	pedestrian	Calle de la Sicurta	207 SP		CALLE DE LA SICURTA																																																																																														
	trunk	Ponte della Libertà											1															3	70	yes		tram																																																																			
	trunk	Ponte della Libertà											1															3	70	yes		tram																																																																			
	footway	San Basilio																															pier																																																																		
no	pedestrian	Calle del Vento			CALLE DEL VENTO																																																																																														
no	pedestrian	Calle de Ca Corner			Calle Ca' Corner																																																																																														
	steps	Ponte dei Tolentini										yes	1																																																																																						
	footway	San Giorgio																							yes								pier							roof	yes	platform																																																									
no	pedestrian	Corte del Mondo Novo			CORTE DEL MONDO NOVO																																																																																														
no	pedestrian	Corte Contarini														yes																																																																																			
no	pedestrian	Campiello Albrizzi														yes																																																																																			
		Bacino San Marco							canal					yes															11																																																																						
		Canale della Giudecca							canal					yes															20														VIc																																																								
no	pedestrian	Campo Santa Maria Nova			CAMPO SANTA MARIA NOVA											yes																																																																																			
no	pedestrian	Calle del Spezier			CALLE DEL SPEZIER																																																																																														
no	pedestrian	Calle Boldù			CALLE BOLDU'																																																																																														
no	pedestrian	Calle Santa Maria Nova			CALLE SANTA MARIA NOVA																																																																																														
no	pedestrian	Calle del Campaniel			CALLE DEL CAMPANIEL																																																																																														
no	pedestrian	Ramo del Campaniel	6055A CN		RAMO DEL CAMPANIEL																																																																																														
no	pedestrian	Campiello del Lion Bianco			CAMPIELLO DEL LION BIANCO											yes																																																																																			
