bicycle	highway	name	note	surface	visible_name	boat	canoe	motorboat	waterway	canoe:conditional	wikidata	bridge	layer	ship	width	area	lit	wikipedia	tunnel	name:de	name:ru	step_count	covered	alt_name	foot	incline	loc_name	lanes	maxspeed	oneway	wheelchair	railway	man_made	nat_ref	start_date	source	source:maxspeed	construction	svg:bezier	building	ferry	public_transport	CEMT	access	old_name	name:it	canoa:conditional	fixme	name:en	name:es	name:fr	bridge:railing	bridge:structure	importance	name:ja	name:pl	name:pt	sidewalk	architect	end_date	length	name:uk	horse	official_name	material	tourism	place	source:date	footway	name:ar	name:be	name:bg	name:he	name:ko	name:tr	name:vec	name:zh	maxwidth	handrail	handrail:left	handrail:right	est_width	arcade:right	electrified	arcade:left	natural	height	psv	description	motor_vehicle	segregated	smoothness	step	ramp	ramp:bicycle	ramp:stroller	ramp:wheelchair	name_1	noexit
	footway	Ponte de la Malvasia			PONTE DE LA MALVASIA							yes	1																																																																																						
no	pedestrian	Sotoportego Licini			SOTOPORTEGO LICINI														building_passage																																																																																
no	pedestrian	Calle Mussato o Tasca			CALLE MUSSATO O TASCA																																																																																														
no	pedestrian	Calle Sant'Antonio			CALLE S. ANTONIO																																																																																														
no	pedestrian	Calle dei Boteri			CALLE E CORTE DEI BOTTERI																																																																																														
no	pedestrian	Corte Perini			CORTE PERINI											yes																																																																																			
no	pedestrian	Corte Sant'Antonio			SOTOPORTEGO E CORTE S.ANTONIO											yes																																																																																			
	steps	Ponte Balbi			PONTE BALBI							yes	1									9				up																																																																									
no	pedestrian	Sotoportego Perini			SOTOPORTEGO PERINI														building_passage																																																																																
no	pedestrian	Sotoportego Sant'Antonio			SOTOPORTEGO E CORTE S.ANTONIO														yes																																																																																
no	pedestrian	Sotoportego Sant'Antonio			SOTOPORTEGO E CORTE S.ANTONIO														yes																																																																																
no	pedestrian	Sotoportego Sant'Antonio			SOTOPORTEGO E CORTE S.ANTONIO																																																																																														
no	pedestrian	Calle del Mondo Novo			CALLE DEL MONDO NOVO																																																																																														
no	pedestrian	Corte Veniera			SOTOPORTEGO E CORTE VENIERA																																																																																														
no	pedestrian	Fondamenta de Cadonici			FONDAMENTA DE CADONICI																																																																																														
	steps	Ponte del Mondo Novo			PONTE DEL MONDO NOVO							yes	1									4				up																																																																									
no	pedestrian	Sotoportego Venier			SOTOPORTEGO E CORTE VENIERA																																																																																														
no	pedestrian	Sotoportego del Mondo Novo			SOTOPORTEGO DEL MONDO NOVO														yes																																																																																
no	pedestrian	Sotoportego del Mondo Novo			SOTOPORTEGO DEL MONDO NOVO																																																																																														
no	pedestrian	Salizada San Lio			SALIZADA S. LIO																																																																																														
no	pedestrian	Calle al Ponte de L'Anzolo			CALLE AL PONTE DE L'ANZOLO																																																																																														
no	pedestrian	Calle al Ponte de L'Anzolo			CALLE AL PONTE DE L'ANZOLO																																							private																																																							
no	pedestrian	Calle al Ponte de la Guerra			CALLE AL PONTE DE LA GUERRA																																																																																														
no	pedestrian	Calle de la Casseleria			CALLE DE LA CASSELERIA																																																																																														
no	pedestrian	Calle de la Passion			CALLE DE LA PASSION																																							private																																																							
no	pedestrian	Calle de la Passion			CALLE DE LA PASSION														building_passage																									private																																																							
no	pedestrian	Calle de le Bande			CALLE DE LE BANDE																																																																																														
no	pedestrian	Casseleria			CASSELERIA																																																																																														
no	pedestrian	Corte dei Frutarioli			CORTE DEI FRUTARIOLI											yes																																																																																			
no	pedestrian	Fondamenta de l'Anzolo			FONDAMENTA DE L'ANZOLO																																																																																														
no	pedestrian	Ramo Venier			RAMO VENIER																																																																																														
no	pedestrian	Sotoportego dei Frutarioli			SOTOPORTEGO DEI FRUTARIOLI																																																																																														
		Rio de la Fava				yes	yes	yes	canal		Q3432861				8									Rio della Fava																																																																											
no	pedestrian	Calle dell'Albero																																																																																																	
	steps	Ponte de l'Anzolo			PONTE DE L'ANZOLO							yes	1									4				up																																																																									
	footway	Ponte de la Guerra			PONTE DE LA GUERRA							yes	1																																																																																						
	steps	Ponte de le Bande			PONTE DE LE BANDE O DE S. BARBARA							yes	1									5		Ponte de Santa Barbara		up																																																																									
no	pedestrian	Ramo va in campo			RAMO VA IN CAMPO																																																																																														
no	pedestrian	Calle Longa Santa Maria Formosa			CALLE LONGA S. MARIA FORMOSA																																																																																														
no	pedestrian	Ramo de Borgoloco			RAMO DE BORGOLOCO																			Ramo Borgoloco																																																																											
no	pedestrian	Campo Santa Maria Formosa																																																																																																	
no	pedestrian	Calle Cocco			CALLE COCCO O DEL REMER														yes				yes	Calle del Remer																																																																											
no	pedestrian	Calle Cocco			CALLE COCCO O DEL REMER																			Calle del Remer																																																																											
no	pedestrian	Calle Schiavolina			CALLE SCHIAVOLINA																																																																																														
no	pedestrian	Calle Trevisana o Cicogna			CALLE TREVISANA O CICOGNA																			Calle Cicogna																																																																											
no	pedestrian	Campiello Trevisan			CAMPIELLO TREVISAN											yes																																																																																			
no	pedestrian	Calle del Console			CALLE DEL CONSOLE																																																																																														
no	pedestrian	Campiello del Tintor			CAMPIELLO DEL TINTOR											yes								Campiello de la Malvasia																																																																											
no	pedestrian	Calle Bragadin o del Pinelli			CALLE BRAGADIN O DEL PINELLI																			Calle del Pinelli																																																																											
no	pedestrian	Calle dei Orbi			CALLE DEI ORBI																																																																																														
no	pedestrian	Calle del Pestrin			CALLE DEL PESTRIN																																																																																														
no	pedestrian	Calle seconda dei Orbi			CALLE SECONDA DEI ORBI														yes				yes																																																																												
no	pedestrian	Sotoportego dei Orbi																	yes				yes																																																																												
no	pedestrian	Calle seconda dei Orbi			CALLE SECONDA DEI ORBI																																																																																														
no	pedestrian	Campiello dei Orbi			CAMPIELLO DEI ORBI											yes																																																																																			
no	pedestrian	Corte dei Orbi			CORTE DEI ORBI											yes																																																																																			
no	pedestrian	Corte del Cafeter														yes																																																																																			
no	pedestrian	Corte del Pestrin			CORTE DEL PESTRIN											yes																																																																																			
no	pedestrian	Fondamenta Tetta			FONDAMENTA TETTA																																																																																														
no	pedestrian	Ramo dei Orbi			RAMO DEI ORBI																																																																																														
no	pedestrian	Ramo del Pestrin			RAMO DEL PESTRIN																																																																																														
		Rio del Pestrin				yes	yes	yes	canal		Q3432840				8									Rio del Paradiso																																																																											
no	pedestrian	Corte del Cafeter																																																																																																	
no	pedestrian	Sotoportego del Verrocchio																	yes																																																																																
no	pedestrian	Calle del Verrocchio			CALLE DEL VERROCCHIO																																																																																														
no	pedestrian	Corte Bressana			CORTE BRESSANA											yes																																																																																			
		Rio del Mondo Novo				yes	yes	yes	canal		Q3432839			yes	8																																																																																				
	steps	Ponte della Costituzione										yes	1		5-10			it:Ponte della Costituzione		Brücke der Verfassung											limited				2007											Ponte della Costituzione			Constitution Bridge	Puente de la Constitución	Pont de la Constitution						Ponte da Constituição		Santiago Calatrava	2008-09-11	94	Міст Конституції																																					
	steps	Ponte dell'Accademia										yes	1					it:Ponte dell'Accademia							yes										1933-01-15														Bridge of the Academy																																																		
	pedestrian	Fondamenta Santa Chiara																																																																																																	
		Rio della Sensa						yes	canal		Q3432798																																																																																								
		Rio dei Trasti				yes	yes	yes	canal																																																																																										
		Rio dei Muti						yes	canal		Q3432820																																																																																								
		Canale della Misericordia					yes	yes	canal	Mo-Fr 8:00-15:00																																																																																									
		Rio di Sant' Alvise				yes	yes	yes	canal																																																																																										
		Rio Madonna dell' Orto						yes	canal		Q3432794																																																																																								
	steps	Ponte de l'Anconeta										yes	1									6																																																																													
no	pedestrian	Salizada Santa Fosca		paving_stones													yes							Strada Nova																																																																											
	steps	Ponte Sant'Antonio										yes	1									10																																																																													
no	pedestrian	Rio Terà de la Maddalena																																																																																																	
		Rio de Sacca Fisola				yes	yes	yes	canal																																																																																										
		Rio dei Mendicanti						yes	canal		Q3432819				12																																																																																				
		Rio de San Salvador				yes			canal		Q3432766																																																																																								
		Rio de San Severo				yes	yes	yes	canal		Q3432769				8																																																																																				
		Rio de San Zuilian				yes	yes	yes	canal		Q3432900																																																																																								
		Rio de Santa Giustina							canal		Q3432918																																																																																								
		Rio de Santa Maria Formosa				yes	yes	yes	canal		Q3432780			yes																																																																																					
		Rio de la Tetta				yes	yes	yes	canal		Q3432688				8																																																																																				
		Rio dei Fuseri				yes	yes	yes	canal		Q2410381				8																																																																																				
		Canale di Cannaregio					yes	yes	canal	no Mo-Fr 8:00-15:00	Q2450564							it:Canale di Cannaregio																																																																																	
	steps	Ponte de la Crea										yes	1									6																																																																													
	steps	Ponte delle Guglie									Q1268698	yes	1					it:Ponte delle Guglie						Ponte de Canaregio																																						Міст делле Гульє																																					
no	pedestrian	Rio Tera' San Leonardo		paving_stones																				Strada Nova																																																																											
no	pedestrian	Fondamenta De Cannaregio																							yes																																																																										
	steps	Ponte de la Saponela										yes	1									6									yes																																																																				
	steps	Ponte de la Saponela										yes	1									6									yes																																																																				
no	pedestrian	Fondamenta San Giobbe																													yes																																																																				
	steps	Ponte de la Saponela										yes	1									6									yes																																																																				
no	pedestrian	Calle al Ponte de Sant'Antonio																																																																																																	
	steps	Ponte de Sant'Antonio										yes	1									13				down																																																																									
	steps	Ponte della Paglia										yes	1					it:Ponte della Paglia				10					Ponte de la Paglia																																																																								
		Rio di Crea				yes	yes	yes	canal																																																																																										
	footway	Ferrovia																															pier																																																																		
	footway	Ferrovia																															pier																																																																		
	footway	Ferrovia																															pier																																																																		
	footway	Ferrovia																															pier																																																																		
	footway	Ferrovia																															pier																																																																		
	footway	Ferrovia																															pier																																																																		
	footway	Ferrovia																															pier																																																																		
yes	pedestrian	Fondamenta Santa Lucia																							yes																																																																										
yes	pedestrian	Fondamenta Santa Lucia																					yes		yes																																						no																																				
	steps	Ponte de la Croce										yes	1									8																																																																													
no	pedestrian	Calle Priuli dei Cavaletti															yes							Calle Priuli dei Cavaleti;Calle Priuli dei Cavalleti;Calle Priuli dei Cavalletti							yes																																	Calle Priuli detta dei Cavalletti																																			
no	pedestrian	Fondamenta Santa Lucia		sett													yes																																																																																		
no	pedestrian	Calle del Spezier		paving_stones																																																																																															
no	pedestrian	Calle nova de San Simon	"contraddizione tra l nizioleti pressi Ramo Chioverete ""SIMON"" e quello alla fine in prossimità della chiesa ""SIMEON""; survey:date=2018-06-07"	paving_stones																																																																																															
no	pedestrian	Fondamenta Papadopoli		paving_stones																																																																																															
no	pedestrian	Campo dei Carmini														yes		it:Campo dei Carmini																																																																																	
		Rio de San Trovaso						yes	canal		Q3432770																																																																																								
no	pedestrian	Campo San Barnaba		paved												yes	yes	it:Campo San Barnaba																																																																																	
		Rio del Malcanton				yes	yes	yes	canal		Q2365920			yes																																																																																					
		Rio Malpaga						yes	canal																																																																																										
	steps	Ponte Foscarini										yes	1																																																																																						
no	pedestrian	Calle de Dona Onesta																																																																																																	
	steps	Ponte Briati										yes	1																																																																																						
	steps	Ponte San Barnaba										yes	1																																																																																						
	steps	Ponte Rosso										yes	1																																																																																						
	steps	Ponte de Ognisanti										yes	1																		yes																																																																				
no	pedestrian	Campiello dei Squelini		paving_stones												yes																																																																																			
no	pedestrian	Calle de la Madona																																																																																																	
	steps	Ponte de le Eremite										yes	1																																																																																						
	steps	Ponte Sartorio										yes	1																																																																																						
no	pedestrian	Campo de San Basegio														yes		it:Campo San Basegio																																																																																	
no	pedestrian	Fondamenta de Dona Onesta																																																																																																	
no	pedestrian	Fondamenta de le Eremite																																																																																																	
no	pedestrian	Fondamenta Rio Marin																																																																																																	
	steps	Ponte de la Latte										yes	1																																																																																						
no	pedestrian	Rio Terà Ognisanti														yes																																																																																			
no	pedestrian	Fondamenta Rio Marin																																																																																																	
no	pedestrian	Fondamenta dei Cereri																																																																																																	
	steps	Ponte dei Guardiani										yes	1																																																																																						
no	pedestrian	Calle de le Pazienze																																																																																																	
	steps	Ponte de le Turchette										yes	1																																																																																						
no	pedestrian	Calle de le Pazienze																																																																																																	
	steps	Ponte de Borgo										yes	1																																																																																						
no	pedestrian	Fondamenta di Borgo																																																																																																	
no	pedestrian	Campiello del Squero														yes																																																																																			
no	pedestrian	Riva de Biasio																																																																																																	
		Rio de la Frescada						yes	canal		Q3432791																																																																																								
no	pedestrian	Calle Sechera		paving_stones																																																																																															
	steps	Ponte Cappello o dei Garzoti										yes	1																																																																																						
no	pedestrian	Ramo Cimesin																																														name																																																			
no	pedestrian	Fondamenta Barbarigo																																																																																																	
no	pedestrian	Fondamenta San Sebastian																																																																																																	
no	pedestrian	Calle de la Chiesa																																																																																																	
	steps	Ponte Foscari										yes	1																																																																																						
no	pedestrian	Calle Foscari		paving_stones													yes																																																																																		
	steps	Ponte de le Pazienze										yes	1																																																																																						
		Rio del Tintòr				yes	yes	yes	canal		Q3432845			yes																																																																																					
no	pedestrian	Fondamenta dei Bari																																																																																																	
no	pedestrian	Calle Larga dei Ragusei																																																																																																	
no	pedestrian	Campiello de l'oratorio														yes																																																																																			
no	pedestrian	Calle Larga																																																																																																	
	steps	Ponte dei Morti										yes	1																																																																																						
no	pedestrian	Fondamenta Rielo																																																																																																	
no	pedestrian	Campo San Nicolo de Mendicoli			CAMPO S. NICOLO DEI MENDICOLI											yes																							no																																																												
no	pedestrian	Fondamenta de l'Arzere																																																																																																	
no	pedestrian	Rio terà dei Sechi																																																																																																	
	steps	Ponte de l'Arzere										yes	1											Ponte de l'Arzere o delle Terese																																																																											
no	pedestrian	Rielo	2323 DD													yes																																																																																			
no	pedestrian	Calle Streta																																																																																																	
	steps	Ponte de la Cereria										yes	1									19																																																																													
no	pedestrian	Calle Longhi																																																																																																	
no	pedestrian	Rio terà dei Sechi																																																																																																	
no	pedestrian	Calle dei Fontegheri																																																																																																	
no	pedestrian	Fondamenta Rugheta																																																																																																	
no	pedestrian	Fondamenta de la Madona																																																																																																	
no	pedestrian	Fondamenta de Santa Maria Maggiore																																																																																																	
	steps	Fondamenta de L'Arzere										yes	1																																																																																						
no	pedestrian	Calle Larga Santa Marta																																																																																																	
no	pedestrian	Calle de la Madona																																																																																																	
no	pedestrian	Fondamenta delle Procuratie																																																																																																	
no	pedestrian	Fondamenta Rossa																																																																																																	
no	pedestrian	Calle Larga Ca' Matta																																																																																																	
	steps	Ponte Santa Maria Maggiore										yes	1																																																																																						
no	pedestrian	Calle de la Pozzeta																																																																																																	
no	pedestrian	Fondamenta Corte Mazor																																																																																																	
no	pedestrian	Calle de L'Ogio																																																																																																	
no	pedestrian	Calle dei Sechi																																																																																																	
	steps	Ponte del Pagan										yes	1																																																																																						
yes	pedestrian	Fondamenta Sant'Andrea																																		http://www.openstreetmap.org/note/449673																																																															
	steps	Ponte de la Sbiaca										yes	1		4							19																															humpback												stone																																		
	steps	Ponte dei Tre Ponti										yes	1									8																																																																													
	steps	Ponte Marcello										yes	1									14																																												yes																																	
	steps	Ponte dei Tre Ponti										yes	1									6																																																																													
no	pedestrian	Campiello dei Lavadori de Lana														yes																																																																																			
		Rio di Santa Maria Maggiore				yes	yes	yes	canal		Q3432923			yes																																																																																					
	steps	Ponte del Campo Santa Maria Maggiore										yes	1																																																																																						
no	pedestrian	Fondamenta Pagan																																																																																																	
		Rio de la Cazziola				yes	yes	yes	canal					yes																																																																																					
no	pedestrian	Fondamenta del Rio Novo																																																																																																	
no	pedestrian	Ponte del Gaffaro										yes	1											Ponte del Gafaro																																																																											
	steps	Ponte dei Tre Ponti										yes	1																																																																																						
no	pedestrian	Campiello del Magazen																																																																																																	
no	pedestrian	Corte del Gallo																																																																																																	
no	pedestrian	Fondamenta de la Fabbrica dei Tabacchi																																		http://www.openstreetmap.org/note/449672																																																															
		Rio di Santa Marta				yes	yes	yes	canal																																																																																										
no	pedestrian	Riva del Vin		paving_stones													yes																																																																																		
no	pedestrian	Fondamenta Contarini																																																																																																	
no	pedestrian	Rio Terà																																																																																																	
		Rio San Polo						yes	canal		Q3432763																																																																																								
		Rielo de le Erbe o Priuli						yes	canal																																																																																										
no	pedestrian	Rio Terà San Silvestro																																																																																																	
		Rio dei Meloni						yes	canal																																																																																										
no	pedestrian	Fondamenta de la Stua																																																																																																	
no	pedestrian	Campo Sant' Aponal														yes																																																			square																																
no	pedestrian	Campiello del Librer																																		Survey																																																															
no	pedestrian	Calle Tamossi																																																																																																	
	steps	Ponte Giovanni Andrea della Croce										yes	1																																																																																						
no	pedestrian	Campo San Cassan														yes																																																																																			
no	pedestrian	Calle del Traghetto																																																																																																	
	steps	Ponte dei Frari										yes	1																																																																																						
	steps	Ponte San Polo										yes	1																																																																																						
no	pedestrian	Fondamenta San Tomà																																																																																																	
no	pedestrian	Corte Amaltea														yes																																																																																			
	steps	Ponte San Stin										yes	1																																																																																						
no	pedestrian	Calle del Perdon																																																																																																	
	steps	Ponte de le Tette									Q2717392	yes	1					it:Ponte delle Tette																																																																																	
no	pedestrian	Calle Bianca Cappello			CALLE BIANCA CAPPELLO GIA' DEL PONTE STORTO																																								Calle del Ponte Storto																																																						
no	pedestrian	Calle del Luganegher																																																																																																	
		Rio San Cassian						yes	canal		Q3432894							fr:Rio di San Cassiano																																																																																	
		Rio de San Tomà						yes	canal																																																																																										
		Rio de la Madoneta						yes	canal		Q3432863																																																																																								
no	pedestrian	Rio Terà San Tomà														yes																																																																																			
no	pedestrian	Calle Longo																																																																																																	
no	pedestrian	Calle de la Raffineria																																		knowledge																																2017																															
	steps	Ponte del Vin										yes	1				yes																																																																																		
		Rio San Provolo				yes	yes	yes	canal		Q3432765																																																																																								
		Rio di San Zaninovo				yes	yes	yes	canal		Q3432899																																																																																								
	steps	Ponte del Sepolcro										yes	1				yes					5									yes																																																																				
	steps	Ponte de la Pietà										yes	1				yes					4			yes	up																																																																									
no	pedestrian	Riva degli Schiavoni																		Ufer der Slawen	Славянская набережная																																																																														
		Rio del Palazzo						yes	canal		Q3432787																																																																																								
		Rio del Vin				yes			canal		Q3432847																																																																																								
no	pedestrian	Ramo dei Sechi																																																																																																	
no	pedestrian	Calle dei Remurchianti																						Calle dei Rimurchianti																																																																											
	steps	Ponte Minich										yes	1									10				up																																																																									
	steps	Ponte de Ruga Giuffa										yes	1									13				up																																																																									
no	pedestrian	Ruga Giuffa																																																																																																	
	footway	Ponte de l'Ospedaletto										yes	1														Ponte de l'Ospealeto																																																																								
no	pedestrian	Calle Tetta																																																																																																	
	footway	Ponte Cavagnis										yes	1																																																																																						
no	pedestrian	Fondamenta Santa Maria Formosa														yes																																																																																			
		Rio di Santo Stefano				yes	yes	yes	canal				-1						yes																																																																																
no	pedestrian	Calle della Chiesa																																																																																																	
		Rio di Santa Maria Zobenigo				yes			canal		Q3432782																																																																																								
		Rio delle Ostreghe				yes			canal																																																																																										
no	pedestrian	Fondamenta Zattere ai Saloni		paving_stones																																																																																															
		Rio San Maurizio - Malatin				yes		yes	canal		Q3432760																																																																																								
no	pedestrian	Fondamenta Salute																																																																																																	
		Rio del Santissimo				yes			canal																																																																																										
		Rio dei Barcaroli						yes	canal		Q3432804																																																																																								
		Rio San Luca						yes	canal																																																																																										
		Rio della Tana						yes	canal		Q3432874																																																																																								
		Rio dell'Arsenale						yes	canal																																																																																										
no	pedestrian	Ramo Grimani																																																																																																	
no	pedestrian	Calle dell’Arco																																																																																																	
no	pedestrian	Borgoloco San Lorenzo																																																																																																	
	footway	Ponte Novo										yes	1																																																																																						
	steps	Ponte de San Lorenzo										yes	1									16				up																																																																									
no	pedestrian	Calle Larga San Lorenzo																																																																																																	
no	footway	Ponte dei Greci										yes	1																																																																																						
no	pedestrian	Fondamenta San Severo																																																																																																	
	steps	Ponte de la Veneta Marina										yes	1				yes																																																																																		
no	pedestrian	Riva dei Sette Martiri		paving_stones																																																																																															
no	pedestrian	Calle del Cristo																																																																																																	
no	pedestrian	Calle del Vaporetto																																																																																																	
no	pedestrian	Calle de la Scuola																																																																																																	
no	pedestrian	Ponte dei Lavraneri										yes	1																																																																																						
no	pedestrian	Calle del Teatro																																																																																																	
		Ramo secondo de Sacca Fisola				yes	yes	yes	canal					yes																																																																																					
no	pedestrian	Calle Larga dei Lavraneri																																																																																																	
no	pedestrian	Calle de le Convertite																																																																																																	
		Rio dei Servi				yes	yes	yes	canal		Q3432827																																																																																								
		Rio del Ghetto Nuovo				yes	yes	yes	canal																																																																																										
		Rio dei Servi						yes	canal																																																																																										
		Rio della Maddalena						yes	canal																																																																																										
		Rio Grimani				yes	yes	yes	canal																																																																																										
		Rio del Trapolin						yes	canal		Q3432848																																																																																								
no	pedestrian	Fondamenta de la Sacca San Girolamo		paving_stones																																																																																															
	steps	Ponte Papadopoli										yes	1									12		Ponte del Prefetto							yes																																																																				
	pedestrian	Piazzale Roma		paving_stones																																																																																															
	footway	Piazzale Roma																																																																			sidewalk																														
	steps	Ponte Santa Chiara			Fondamenta di Santa Chiara							yes	1											Ponte del Monastero																																																																											
no	pedestrian	Fondamenta dei Tolentini		paving_stones	FONDAMENTA DEI TOLENTINI																																																																																														
	pedestrian	Piazzale Roma																																																																																																	
no	pedestrian	Campiello dei Lavadori de Lana																																																																																																	
	pedestrian	Piazzale Roma		paving_stones																																																																																															
	pedestrian	Fondamenta di Santa Chiara		paving_stones	Fondamenta di Santa Chiara																																																																																														
no	pedestrian	Calle Pompea			CALLE POMPEA																																																																																														
		Canal Grande						yes	canal					yes				it:Canal Grande		Canal Grande	Гранд-канал								11																						Grand Canal				カナル・グランデ							Гранд-канал								القنال الكبير	Гранд-канал	Канал Гранде	התעלה הגדולה	카날 그란데	Büyük Kanal	Canal Grando	大运河																						
no	footway	Ponte Longo										yes	1																																																																																						
no	pedestrian	Rio Terà Antonio Foscarini		paving_stones													yes																																																																																		
no	pedestrian	Fondamenta Minotto			FONDAMENTA DEI TOLENTINI																																																																																														
no	pedestrian	Fondamenta del Magazen																																																																																																	
no	pedestrian	Corte Surian														yes																																																																																			
no	pedestrian	Calle de la Cereria																																																																																																	
no	pedestrian	Fondamenta del Monastero		paving_stones																																																																																															
no	pedestrian	Campo San Pantalon														yes																																																																																			
no	pedestrian	Corte del Basegò														yes																																																																																			
no	pedestrian	Corte dei Formacier														yes																																																																																			
no	pedestrian	Fondamenta Foscarini																																																																																																	
no	pedestrian	Calle Renier																																																																																																	
no	pedestrian	Calle del Basegò																																																																																																	
	steps	Ponte Santa Margherita										yes	1																																																																																						
no	pedestrian	Calle del Forno																																																																																																	
	steps	Ponte Renier										yes	1									10																																																																													
no	pedestrian	Fondamenta Malcanton																																																																																																	
